,year_x,week_x,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,team,team_name,total,home,away,weekly_attendance
970,2003,13,Chicago Bears,Arizona Cardinals,Chicago Bears,0,Sun,November 30,1:03PM,28,3,422,1,197,3,Bears,Chicago,Cardinals,Arizona,Bears200313,Bears2003,200313Chicago Bears,Chicago,Bears,1031247.0,479585.0,551662.0,61550.0
971,2003,13,Washington Redskins,New Orleans Saints,New Orleans Saints,0,Sun,November 30,4:05PM,24,20,310,0,392,3,Redskins,Washington,Saints,New Orleans,Redskins200313,Redskins2003,200313Washington Redskins,Washington,Redskins,1194366.0,643997.0,550369.0,76821.0
972,2003,13,San Diego Chargers,Kansas City Chiefs,Kansas City Chiefs,0,Sun,November 30,4:15PM,28,24,335,2,370,3,Chargers,San Diego,Chiefs,Kansas City,Chargers200313,Chargers2003,200313San Diego Chargers,San Diego,Chargers,997271.0,492165.0,505106.0,57671.0
973,2003,13,Oakland Raiders,Denver Broncos,Denver Broncos,0,Sun,November 30,4:15PM,22,8,287,1,262,3,Raiders,Oakland,Broncos,Denver,Raiders200313,Raiders2003,200313Oakland Raiders,Oakland,Raiders,975793.0,440063.0,535730.0,57201.0
974,2003,13,Seattle Seahawks,Cleveland Browns,Seattle Seahawks,0,Sun,November 30,4:15PM,34,7,463,1,214,3,Seahawks,Seattle,Browns,Cleveland,Seahawks200313,Seahawks2003,200313Seattle Seahawks,Seattle,Seahawks,1005938.0,512150.0,493788.0,64680.0
975,2003,13,Jacksonville Jaguars,Tampa Bay Buccaneers,Jacksonville Jaguars,0,Sun,November 30,8:36PM,17,10,359,1,221,1,Jaguars,Jacksonville,Buccaneers,Tampa Bay,Jaguars200313,Jaguars2003,200313Jacksonville Jaguars,Jacksonville,Jaguars,980628.0,428072.0,552556.0,60543.0
976,2003,13,New York Jets,Tennessee Titans,New York Jets,0,Mon,December 1,9:09PM,24,17,320,2,347,2,Jets,New York,Titans,Tennessee,Jets200313,Jets2003,200313New York Jets,New York,Jets,1169808.0,622255.0,547553.0,77710.0
977,2003,14,Minnesota Vikings,Seattle Seahawks,Minnesota Vikings,0,Sun,December 7,1:00PM,34,7,465,0,258,3,Vikings,Minnesota,Seahawks,Seattle,Vikings200314,Vikings2003,200314Minnesota Vikings,Minnesota,Vikings,1017297.0,513437.0,503860.0,63968.0
978,2003,14,Pittsburgh Steelers,Oakland Raiders,Pittsburgh Steelers,0,Sun,December 7,1:01PM,27,7,399,2,161,3,Steelers,Pittsburgh,Raiders,Oakland,Steelers200314,Steelers2003,200314Pittsburgh Steelers,Pittsburgh,Steelers,1052513.0,477584.0,574929.0,53079.0
979,2003,14,Jacksonville Jaguars,Houston Texans,Jacksonville Jaguars,0,Sun,December 7,1:02PM,27,0,390,0,124,3,Jaguars,Jacksonville,Texans,Houston,Jaguars200314,Jaguars2003,200314Jacksonville Jaguars,Jacksonville,Jaguars,980628.0,428072.0,552556.0,43363.0
980,2003,14,Green Bay Packers,Chicago Bears,Green Bay Packers,0,Sun,December 7,1:02PM,34,21,307,1,275,5,Packers,Green Bay,Bears,Chicago,Packers200314,Packers2003,200314Green Bay Packers,Green Bay,Packers,1067556.0,562819.0,504737.0,70458.0
981,2003,14,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,0,Sun,December 7,1:02PM,31,13,353,3,268,5,Ravens,Baltimore,Bengals,Cincinnati,Ravens200314,Ravens2003,200314Baltimore Ravens,Baltimore,Ravens,1006929.0,556634.0,450295.0,69468.0
982,2003,14,New York Giants,Washington Redskins,Washington Redskins,0,Sun,December 7,1:02PM,20,7,288,0,220,3,Giants,New York,Redskins,Washington,Giants200314,Giants2003,200314New York Giants,New York,Giants,1190530.0,628960.0,561570.0,78217.0
983,2003,14,Detroit Lions,San Diego Chargers,San Diego Chargers,0,Sun,December 7,1:03PM,14,7,375,2,276,0,Lions,Detroit,Chargers,San Diego,Lions200314,Lions2003,200314Detroit Lions,Detroit,Lions,1045766.0,490442.0,555324.0,61544.0
984,2003,14,Tennessee Titans,Indianapolis Colts,Indianapolis Colts,0,Sun,December 7,1:03PM,29,27,340,0,327,4,Titans,Tennessee,Colts,Indianapolis,Titans200314,Titans2003,200314Tennessee Titans,Tennessee,Titans,1087279.0,550472.0,536807.0,68809.0
985,2003,14,New Orleans Saints,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,Sun,December 7,1:03PM,14,7,314,1,292,3,Saints,New Orleans,Buccaneers,Tampa Bay,Saints200314,Saints2003,200314New Orleans Saints,New Orleans,Saints,1072640.0,548894.0,523746.0,68442.0
986,2003,14,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,0,Sun,December 7,1:03PM,36,10,403,0,225,2,Eagles,Philadelphia,Cowboys,Dallas,Eagles200314,Eagles2003,200314Philadelphia Eagles,Philadelphia,Eagles,1124063.0,544349.0,579714.0,69773.0
987,2003,14,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,0,Sun,December 7,4:05PM,50,14,496,1,210,2,49ers,San Francisco,Cardinals,Arizona,49ers200314,49ers2003,200314San Francisco 49ers,San Francisco,49ers,1050337.0,540644.0,509693.0,66975.0
988,2003,14,Buffalo Bills,New York Jets,Buffalo Bills,0,Sun,December 7,4:15PM,17,6,256,2,215,1,Bills,Buffalo,Jets,New York,Bills200314,Bills2003,200314Buffalo Bills,Buffalo,Bills,1152118.0,584122.0,567996.0,72791.0
989,2003,14,Denver Broncos,Kansas City Chiefs,Denver Broncos,0,Sun,December 7,4:15PM,45,27,508,0,444,0,Broncos,Denver,Chiefs,Kansas City,Broncos200314,Broncos2003,200314Denver Broncos,Denver,Broncos,1134086.0,607167.0,526919.0,76403.0
990,2003,14,New England Patriots,Miami Dolphins,New England Patriots,0,Sun,December 7,4:15PM,12,0,228,1,134,3,Patriots,New England,Dolphins,Miami,Patriots200314,Patriots2003,200314New England Patriots,New England,Patriots,1127515.0,547488.0,580027.0,68436.0
991,2003,14,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,0,Sun,December 7,8:37PM,20,14,380,2,231,3,Falcons,Atlanta,Panthers,Carolina,Falcons200314,Falcons2003,200314Atlanta Falcons,Atlanta,Falcons,1106928.0,563676.0,543252.0,70079.0
992,2003,14,Cleveland Browns,St. Louis Rams,St. Louis Rams,0,Mon,December 8,9:09PM,26,20,328,1,309,4,Browns,Cleveland,Rams,St. Louis,Browns200314,Browns2003,200314Cleveland Browns,Cleveland,Browns,1139440.0,585564.0,553876.0,73108.0
993,2003,15,Kansas City Chiefs,Detroit Lions,Kansas City Chiefs,0,Sun,December 14,1:00PM,45,17,521,0,334,2,Chiefs,Kansas City,Lions,Detroit,Chiefs200315,Chiefs2003,200315Kansas City Chiefs,Kansas City,Chiefs,1163872.0,627840.0,536032.0,77922.0
994,2003,15,Indianapolis Colts,Atlanta Falcons,Indianapolis Colts,0,Sun,December 14,1:00PM,38,7,465,2,154,2,Colts,Indianapolis,Falcons,Atlanta,Colts200315,Colts2003,200315Indianapolis Colts,Indianapolis,Colts,993951.0,454138.0,539813.0,57103.0
995,2003,15,Tampa Bay Buccaneers,Houston Texans,Tampa Bay Buccaneers,0,Sun,December 14,1:01PM,16,3,398,0,107,0,Buccaneers,Tampa Bay,Texans,Houston,Buccaneers200315,Buccaneers2003,200315Tampa Bay Buccaneers,Tampa Bay,Buccaneers,1087333.0,524352.0,562981.0,65124.0
996,2003,15,New England Patriots,Jacksonville Jaguars,New England Patriots,0,Sun,December 14,1:02PM,27,13,296,1,354,2,Patriots,New England,Jaguars,Jacksonville,Patriots200315,Patriots2003,200315New England Patriots,New England,Patriots,1127515.0,547488.0,580027.0,68436.0
997,2003,15,St. Louis Rams,Seattle Seahawks,St. Louis Rams,0,Sun,December 14,1:02PM,27,22,316,1,366,1,Rams,St. Louis,Seahawks,Seattle,Rams200315,Rams2003,200315St. Louis Rams,St. Louis,Rams,1041463.0,528456.0,513007.0,66152.0
998,2003,15,Cincinnati Bengals,San Francisco 49ers,Cincinnati Bengals,0,Sun,December 14,1:03PM,41,38,393,0,502,3,Bengals,Cincinnati,49ers,San Francisco,Bengals200315,Bengals2003,200315Cincinnati Bengals,Cincinnati,Bengals,945592.0,479488.0,466104.0,64666.0
999,2003,15,New York Jets,Pittsburgh Steelers,New York Jets,0,Sun,December 14,1:03PM,6,0,319,1,231,0,Jets,New York,Steelers,Pittsburgh,Jets200315,Jets2003,200315New York Jets,New York,Jets,1169808.0,622255.0,547553.0,77900.0
1000,2003,15,Tennessee Titans,Buffalo Bills,Tennessee Titans,0,Sun,December 14,1:03PM,28,26,349,1,241,1,Titans,Tennessee,Bills,Buffalo,Titans200315,Titans2003,200315Tennessee Titans,Tennessee,Titans,1087279.0,550472.0,536807.0,68809.0
1001,2003,15,Chicago Bears,Minnesota Vikings,Chicago Bears,0,Sun,December 14,1:03PM,13,10,232,0,393,1,Bears,Chicago,Vikings,Minnesota,Bears200315,Bears2003,200315Chicago Bears,Chicago,Bears,1031247.0,479585.0,551662.0,61804.0
1002,2003,15,Oakland Raiders,Baltimore Ravens,Oakland Raiders,0,Sun,December 14,4:05PM,20,12,265,0,319,3,Raiders,Oakland,Ravens,Baltimore,Raiders200315,Raiders2003,200315Oakland Raiders,Oakland,Raiders,975793.0,440063.0,535730.0,45398.0
1003,2003,15,Denver Broncos,Cleveland Browns,Denver Broncos,0,Sun,December 14,4:05PM,23,20,417,1,275,1,Broncos,Denver,Browns,Cleveland,Broncos200315,Broncos2003,200315Denver Broncos,Denver,Broncos,1134086.0,607167.0,526919.0,75358.0
1004,2003,15,San Diego Chargers,Green Bay Packers,Green Bay Packers,0,Sun,December 14,4:15PM,38,21,361,1,424,4,Chargers,San Diego,Packers,Green Bay,Chargers200315,Chargers2003,200315San Diego Chargers,San Diego,Chargers,997271.0,492165.0,505106.0,64978.0
1005,2003,15,Arizona Cardinals,Carolina Panthers,Carolina Panthers,0,Sun,December 14,4:16PM,20,17,298,2,317,2,Cardinals,Arizona,Panthers,Carolina,Cardinals200315,Cardinals2003,200315Arizona Cardinals,Arizona,Cardinals,804401.0,288499.0,515902.0,23217.0
1006,2003,15,Washington Redskins,Dallas Cowboys,Dallas Cowboys,0,Sun,December 14,4:17PM,27,0,326,1,161,6,Redskins,Washington,Cowboys,Dallas,Redskins200315,Redskins2003,200315Washington Redskins,Washington,Redskins,1194366.0,643997.0,550369.0,70284.0
1007,2003,15,New Orleans Saints,New York Giants,New Orleans Saints,0,Sun,December 14,8:36PM,45,7,440,1,241,2,Saints,New Orleans,Giants,New York,Saints200315,Saints2003,200315New Orleans Saints,New Orleans,Saints,1072640.0,548894.0,523746.0,68399.0
1008,2003,15,Miami Dolphins,Philadelphia Eagles,Philadelphia Eagles,0,Mon,December 15,9:09PM,34,27,401,1,398,2,Dolphins,Miami,Eagles,Philadelphia,Dolphins200315,Dolphins2003,200315Miami Dolphins,Miami,Dolphins,1158236.0,587787.0,570449.0,73780.0
1009,2003,16,Tampa Bay Buccaneers,Atlanta Falcons,Atlanta Falcons,0,Sat,December 20,1:32PM,30,28,267,1,440,4,Buccaneers,Tampa Bay,Falcons,Atlanta,Buccaneers200316,Buccaneers2003,200316Tampa Bay Buccaneers,Tampa Bay,Buccaneers,1087333.0,524352.0,562981.0,65572.0
1010,2003,16,Minnesota Vikings,Kansas City Chiefs,Minnesota Vikings,0,Sat,December 20,5:15PM,45,20,469,1,329,4,Vikings,Minnesota,Chiefs,Kansas City,Vikings200316,Vikings2003,200316Minnesota Vikings,Minnesota,Vikings,1017297.0,513437.0,503860.0,64291.0
